# Hs,H10,Hmax,Tmed,THmax,Hm0,Tp,Dp
2.07,2.76,4.36,9.82,14.00,2.27,10.53,170.56
1.93,2.32,2.99,9.52,14.00,2.08,11.76,172.42
1.89,2.61,3.02,8.74,14.00,2.20,10.53,170.09
2.04,2.59,3.58,9.08,14.00,2.24,10.00,162.51
1.93,2.41,3.13,9.27,13.00,2.11,10.53,164.20
1.99,2.51,3.12,9.14,13.00,2.15,11.76,163.21
1.84,2.27,2.92,8.64,13.00,2.02,11.11,162.91
1.80,2.22,3.06,8.21,16.00,2.04,10.53,154.84
1.83,2.28,2.81,8.18,13.00,1.99,11.11,161.97
2.00,2.38,2.88,8.26,15.00,2.15,10.53,158.20
1.83,2.16,2.59,8.23,11.00,2.00,11.11,161.53
1.79,2.16,2.88,7.77,9.00,1.99,11.11,155.32
1.77,2.28,3.37,8.03,13.00,1.89,10.53,152.62
1.74,2.17,2.88,7.95,14.00,1.86,11.11,162.74
1.73,2.09,2.58,8.06,11.00,1.93,11.11,147.81
1.82,2.26,2.87,8.73,14.00,2.02,10.53,153.31
1.58,1.94,2.32,7.55,10.00,1.74,10.53,150.10
1.49,1.85,2.28,7.43,15.00,1.65,10.00,152.40
1.68,2.05,2.39,7.64,7.00,1.79,10.00,161.97
1.72,2.13,2.56,7.85,10.00,1.88,10.00,147.73
1.72,2.09,2.78,7.49,10.00,1.88,10.00,137.18
1.70,2.06,2.79,7.95,9.00,1.86,10.53,151.56
1.70,2.07,2.75,7.72,13.00,1.87,5.56,57.11
1.65,2.06,2.50,7.93,10.00,1.77,10.53,146.61
1.67,2.04,2.60,7.92,12.00,1.84,5.88,57.91
1.59,1.95,2.55,7.39,11.00,1.74,10.00,154.63
1.61,1.89,2.23,7.57,9.00,1.75,6.06,55.61
1.65,2.05,3.16,7.45,8.00,1.81,5.71,46.76
1.69,2.02,2.36,7.65,13.00,1.90,5.71,71.20
1.78,2.16,2.58,7.71,10.00,1.94,7.14,73.70
1.85,2.26,2.83,8.22,10.00,1.98,6.25,54.92
1.68,2.11,2.72,7.99,9.00,1.82,7.41,71.80
1.75,2.17,2.72,8.40,11.00,1.87,7.14,58.15
1.68,2.05,2.56,8.40,11.00,1.78,6.90,71.54
1.64,2.08,3.37,8.65,10.00,1.81,6.90,55.06
1.51,1.85,2.19,8.29,10.00,1.61,6.67,61.61
1.52,1.84,2.40,9.02,10.00,1.59,6.25,54.37
1.49,1.84,2.49,8.63,9.00,1.61,6.67,53.36
1.39,1.70,2.09,9.02,8.00,1.51,6.67,65.39
1.26,1.72,2.58,8.60,10.00,1.40,6.45,65.70
1.39,1.62,2.21,9.45,12.00,1.49,10.00,150.24
